location,region,Image URL,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24
Cyprus,Asia,https://www.countryflags.io/cy/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,14.0,21.0,30.0,40.0,40.0,58.0,58.0,67.0,84.0,95.0,116.0,124.0,132.0,146.0,162.0,179.0,214.0,230.0,262.0,320.0,356.0,396.0,426.0,446.0,465.0,494.0,526.0,564.0,595.0,616.0,633.0,662.0,695.0,715.0,735.0,735.0,761.0,767.0,772.0,784.0,790.0,795.0,804.0,810.0,817.0,822.0,837.0,843.0,850.0,857.0,864.0,872.0,874.0,878.0,883.0,889.0,891.0,892.0,898.0,901.0,903.0,905.0,907.0,910.0,914.0,916.0,917.0,918.0,922.0,923.0,927.0,927.0
Czech Republic,Europe,https://www.countryflags.io/cz/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,8.0,12.0,19.0,26.0,32.0,40.0,63.0,94.0,116.0,150.0,214.0,298.0,344.0,434.0,522.0,694.0,904.0,995.0,1165.0,1236.0,1394.0,1654.0,2062.0,2279.0,2663.0,2829.0,3002.0,3308.0,3589.0,3858.0,4190.0,4472.0,4587.0,4822.0,5017.0,5312.0,5569.0,5732.0,5902.0,5991.0,6059.0,6141.0,6303.0,6433.0,6549.0,6654.0,6787.0,6914.0,7041.0,7136.0,7188.0,7273.0,7352.0,7404.0,7449.0,7504.0,7579.0,7682.0,7737.0,7755.0,7781.0,7819.0,7896.0,7974.0,8031.0,8077.0,8095.0,8123.0,8176.0,8221.0,8269.0,8351.0,8406.0,8455.0,8475.0,8586.0,8647.0,8721.0,8754.0,8813.0,8890.0
Denmark,Europe,https://www.countryflags.io/dk/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,8.0,10.0,20.0,23.0,31.0,38.0,113.0,264.0,516.0,676.0,804.0,827.0,875.0,932.0,1024.0,1115.0,1151.0,1255.0,1326.0,1395.0,1460.0,1591.0,1724.0,1877.0,2046.0,2201.0,2395.0,2577.0,2860.0,3107.0,3386.0,3757.0,4077.0,4369.0,4681.0,5071.0,5402.0,5635.0,5819.0,5996.0,6174.0,6318.0,6511.0,6681.0,6879.0,7073.0,7242.0,7384.0,7515.0,7695.0,7912.0,8073.0,8210.0,8445.0,8575.0,8698.0,8851.0,9008.0,9158.0,9311.0,9407.0,9523.0,9670.0,9821.0,9983.0,10083.0,10218.0,10319.0,10429.0,10513.0,10591.0,10667.0,10713.0,10791.0,10858.0,10927.0,10968.0,11044.0,11117.0,11182.0,11230.0,11289.0
Djibouti,Africa,https://www.countryflags.io/dj/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,12.0,13.0,15.0,19.0,26.0,31.0,34.0,41.0,41.0,51.0,59.0,90.0,121.0,135.0,140.0,150.0,187.0,214.0,298.0,363.0,435.0,591.0,732.0,732.0,846.0,846.0,945.0,974.0,986.0,999.0,1008.0,1023.0,1035.0,1072.0,1077.0,1089.0,1097.0,1112.0,1112.0,1116.0,1120.0,1120.0,1133.0,1135.0,1189.0,1210.0,1227.0,1256.0,1268.0,1284.0,1309.0,1331.0,1401.0,1518.0,1518.0,1828.0,2047.0,2270.0,2270.0
Dominica,Americas,https://www.countryflags.io/dm/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Dominican Republic,Americas,https://www.countryflags.io/do/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,,,5.0,,,,11.0,11.0,11.0,11.0,11.0,21.0,21.0,34.0,112.0,202.0,245.0,312.0,392.0,488.0,581.0,719.0,859.0,901.0,1109.0,1284.0,1380.0,1488.0,1578.0,1745.0,1828.0,1956.0,2111.0,2349.0,2620.0,2759.0,2967.0,3167.0,3286.0,3614.0,3755.0,4126.0,4335.0,4680.0,4964.0,5044.0,5300.0,5543.0,5749.0,5926.0,6135.0,6135.0,6416.0,6652.0,6972.0,7288.0,7578.0,7954.0,8235.0,8480.0,8807.0,9095.0,9376.0,9882.0,10347.0,10634.0,10900.0,11196.0,11320.0,11739.0,11893.0,12314.0,12725.0,13223.0,13477.0,13657.0,13989.0,14422.0
Ecuador,Americas,https://www.countryflags.io/ec/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,,10.0,13.0,,,14.0,15.0,17.0,,,23.0,28.0,37.0,58.0,111.0,168.0,199.0,426.0,532.0,789.0,981.0,1082.0,1211.0,1403.0,1627.0,1835.0,1890.0,1966.0,2302.0,2758.0,3163.0,3368.0,3465.0,3646.0,3747.0,3995.0,4450.0,4965.0,7161.0,7257.0,7466.0,7529.0,7603.0,7858.0,8225.0,8450.0,9022.0,9468.0,10128.0,10398.0,10850.0,11183.0,11183.0,11183.0,22719.0,23240.0,24258.0,24675.0,24934.0,26336.0,27464.0,29538.0,31881.0,31881.0,29420.0,30298.0,28818.0,29071.0,29559.0,29509.0,30419.0,30486.0,30502.0,31467.0,32763.0,33182.0,33582.0,34151.0,34854.0,35306.0,35828.0,36258.0
"Egypt, Arab Rep.",Africa,https://www.countryflags.io/eg/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,3.0,15.0,,49.0,55.0,59.0,60.0,80.0,93.0,93.0,110.0,126.0,166.0,196.0,210.0,256.0,285.0,294.0,327.0,366.0,442.0,456.0,495.0,536.0,576.0,609.0,656.0,710.0,779.0,779.0,985.0,1070.0,1073.0,1322.0,1560.0,1699.0,1794.0,1939.0,2065.0,2190.0,2350.0,2505.0,2673.0,2844.0,3032.0,3144.0,3333.0,3490.0,3490.0,3659.0,4092.0,4319.0,4319.0,4782.0,5042.0,5268.0,5537.0,5895.0,6193.0,6465.0,6813.0,7201.0,7588.0,7981.0,8476.0,8964.0,9400.0,9746.0,10093.0,10431.0,10829.0,11228.0,11719.0,12229.0,12764.0,13484.0,14229.0,15003.0,15786.0,16613.0
El Salvador,Americas,https://www.countryflags.io/sv/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,3.0,5.0,9.0,13.0,13.0,13.0,19.0,30.0,32.0,32.0,41.0,46.0,56.0,62.0,69.0,78.0,78.0,103.0,117.0,118.0,118.0,125.0,149.0,159.0,159.0,164.0,177.0,190.0,201.0,218.0,225.0,237.0,250.0,261.0,298.0,298.0,323.0,345.0,377.0,424.0,446.0,446.0,555.0,587.0,587.0,695.0,695.0,784.0,889.0,958.0,998.0,1037.0,1112.0,1210.0,1265.0,1265.0,1338.0,1413.0,1498.0,1571.0,1640.0,1725.0,1819.0
Equatorial Guinea,Africa,https://www.countryflags.io/gq/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,9.0,9.0,11.0,12.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,21.0,21.0,41.0,51.0,51.0,79.0,79.0,79.0,79.0,79.0,83.0,84.0,212.0,214.0,258.0,258.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,522.0,594.0,594.0,594.0,594.0,719.0,890.0,890.0,903.0,903.0,1043.0
Eritrea,Africa,https://www.countryflags.io/er/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,12.0,12.0,15.0,18.0,22.0,22.0,29.0,29.0,31.0,31.0,33.0,33.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Estonia,Europe,https://www.countryflags.io/ee/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0,10.0,0.0,0.0,0.0,13.0,16.0,27.0,79.0,115.0,171.0,205.0,225.0,258.0,267.0,283.0,306.0,326.0,352.0,369.0,404.0,538.0,575.0,640.0,679.0,715.0,745.0,779.0,858.0,961.0,1018.0,1097.0,1108.0,1149.0,1185.0,1207.0,1258.0,1304.0,1309.0,1332.0,1373.0,1402.0,1434.0,1459.0,1512.0,1528.0,1535.0,1552.0,1559.0,1592.0,1605.0,1635.0,1643.0,1647.0,1660.0,1666.0,1689.0,1694.0,1699.0,1700.0,1703.0,1711.0,1713.0,1720.0,1725.0,1733.0,1739.0,1741.0,1746.0,1751.0,1758.0,1766.0,1770.0,1774.0,1784.0,1791.0,1794.0,1800.0,1807.0,1821.0
Eswatini,Africa,https://www.countryflags.io/sz/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,12.0,12.0,14.0,14.0,15.0,15.0,16.0,16.0,19.0,19.0,22.0,24.0,24.0,31.0,32.0,40.0,40.0,59.0,65.0,71.0,91.0,100.0,106.0,108.0,112.0,116.0,116.0,123.0,153.0,159.0,163.0,172.0,175.0,184.0,187.0,187.0,190.0,202.0,203.0,203.0,208.0,217.0,220.0,220.0,238.0
Ethiopia,Africa,https://www.countryflags.io/et/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,5.0,5.0,6.0,7.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,16.0,16.0,16.0,23.0,25.0,29.0,29.0,35.0,38.0,43.0,44.0,52.0,55.0,56.0,65.0,69.0,71.0,74.0,82.0,85.0,92.0,96.0,105.0,108.0,111.0,114.0,116.0,116.0,117.0,122.0,123.0,124.0,126.0,130.0,131.0,133.0,133.0,135.0,140.0,145.0,162.0,191.0,194.0,210.0,239.0,250.0,261.0,263.0,272.0,287.0,306.0,317.0,352.0,365.0,389.0,399.0,433.0,494.0
Faroe Islands,Europe,https://www.countryflags.io/fo/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,80.0,92.0,115.0,118.0,122.0,132.0,140.0,144.0,155.0,159.0,168.0,169.0,173.0,177.0,179.0,181.0,181.0,183.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,185.0,185.0,185.0,185.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0
Fiji,Oceania,https://www.countryflags.io/fj/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,12.0,12.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Finland,Europe,https://www.countryflags.io/fi/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,0.0,7.0,0.0,12.0,19.0,0.0,30.0,40.0,0.0,59.0,155.0,183.0,210.0,267.0,272.0,319.0,369.0,400.0,450.0,521.0,626.0,700.0,792.0,880.0,958.0,1025.0,1218.0,1218.0,1313.0,1384.0,1446.0,1518.0,1615.0,1882.0,1927.0,2176.0,2308.0,2487.0,2605.0,2769.0,2905.0,2974.0,3064.0,3161.0,3237.0,3369.0,3489.0,3681.0,3783.0,3868.0,4014.0,4129.0,4284.0,4395.0,4475.0,4576.0,4695.0,4740.0,4906.0,4995.0,5051.0,5179.0,5254.0,5327.0,5412.0,5573.0,5673.0,5738.0,5880.0,5962.0,5984.0,6003.0,6054.0,6145.0,6228.0,6286.0,6347.0,6380.0,6399.0,6443.0,6493.0,6537.0,6568.0
France,Europe,https://www.countryflags.io/fr/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,17.0,38.0,57.0,100.0,130.0,178.0,212.0,285.0,423.0,613.0,716.0,1126.0,1412.0,1784.0,2281.0,2876.0,3661.0,4499.0,5423.0,6633.0,7730.0,9134.0,10995.0,12612.0,14459.0,16018.0,19856.0,22302.0,25233.0,29155.0,32964.0,37575.0,40174.0,44550.0,52128.0,56989.0,59105.0,64338.0,68605.0,70478.0,74390.0,78167.0,82048.0,86334.0,90676.0,93790.0,95403.0,98076.0,103573.0,106206.0,108847.0,109252.0,111821.0,112606.0,114657.0,117324.0,119151.0,120804.0,122577.0,124114.0,124575.0,125770.0,126835.0,128442.0,129581.0,130185.0,130979.0,131287.0,131863.0,132967.0,137150.0,137779.0,138421.0,138854.0,139063.0,139519.0,140227.0,140734.0,141356.0,141919.0,142291.0,142411.0,142903.0,143427.0,143845.0,144163.0,144566.0,144806.0
French Polynesia,Oceania,https://www.countryflags.io/pf/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,15.0,17.0,18.0,23.0,25.0,25.0,30.0,30.0,34.0,35.0,36.0,37.0,37.0,37.0,39.0,40.0,41.0,41.0,47.0,51.0,51.0,51.0,51.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Gabon,Africa,https://www.countryflags.io/ga/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,16.0,18.0,18.0,21.0,21.0,21.0,21.0,30.0,33.0,44.0,46.0,49.0,57.0,57.0,75.0,87.0,95.0,108.0,109.0,109.0,120.0,156.0,166.0,167.0,172.0,176.0,176.0,211.0,238.0,276.0,276.0,308.0,335.0,335.0,367.0,397.0,439.0,504.0,620.0,661.0,661.0,802.0,863.0,1004.0,1104.0,1209.0,1320.0,1320.0,1432.0,1502.0,1567.0,1567.0,1728.0,1934.0
"Gambia, The",Africa,https://www.countryflags.io/gm/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,17.0,17.0,17.0,17.0,17.0,18.0,20.0,20.0,20.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,25.0,25.0
Georgia,Asia,https://www.countryflags.io/ge/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,,,3.0,9.0,,12.0,13.0,15.0,23.0,24.0,25.0,30.0,30.0,30.0,33.0,34.0,34.0,40.0,43.0,49.0,54.0,61.0,70.0,73.0,79.0,81.0,85.0,90.0,98.0,110.0,115.0,121.0,148.0,157.0,174.0,188.0,196.0,211.0,218.0,234.0,242.0,257.0,272.0,300.0,306.0,348.0,370.0,388.0,394.0,402.0,408.0,416.0,425.0,444.0,456.0,486.0,497.0,511.0,517.0,539.0,582.0,582.0,589.0,593.0,604.0,610.0,615.0,623.0,626.0,635.0,638.0,642.0,647.0,667.0,671.0,695.0,701.0,702.0,707.0,713.0,721.0,723.0,728.0
Germany,Europe,https://www.countryflags.io/de/flat/64.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,7.0,8.0,9.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,21.0,47.0,57.0,111.0,129.0,157.0,196.0,262.0,400.0,684.0,847.0,902.0,1139.0,1296.0,1567.0,2369.0,3062.0,3795.0,4838.0,6012.0,7156.0,8198.0,14138.0,18187.0,21463.0,24774.0,29212.0,31554.0,36508.0,42288.0,48582.0,52547.0,57298.0,61913.0,67366.0,73522.0,79696.0,85778.0,91714.0,95391.0,99225.0,103228.0,108202.0,113525.0,117658.0,120479.0,123016.0,125098.0,127584.0,130450.0,133830.0,137439.0,139897.0,141672.0,143457.0,145694.0,148046.0,150383.0,152438.0,154175.0,155193.0,156337.0,157641.0,159119.0,159119.0,161703.0,162496.0,163175.0,163860.0,164897.0,166091.0,167300.0,168551.0,169218.0,169575.0,170508.0,171306.0,172239.0,173152.0,173772.0,174355.0,174697.0,175210.0,176007.0,176752.0,177212.0,177850.0,178281.0
Ghana,Africa,https://www.countryflags.io/gh/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,6.0,6.0,7.0,11.0,16.0,21.0,24.0,27.0,53.0,68.0,132.0,137.0,141.0,152.0,152.0,152.0,195.0,204.0,205.0,214.0,214.0,287.0,287.0,313.0,378.0,378.0,408.0,566.0,566.0,636.0,641.0,641.0,641.0,834.0,1042.0,1042.0,1042.0,1154.0,1154.0,1279.0,1279.0,1550.0,1550.0,1671.0,1671.0,2074.0,2074.0,2169.0,2169.0,2719.0,2719.0,3091.0,3091.0,4012.0,4263.0,4263.0,4700.0,5127.0,5408.0,5530.0,5638.0,5735.0,5735.0,5735.0,6096.0,6269.0,6486.0,6617.0,6617.0
Gibraltar,Europe,https://www.countryflags.io/gi/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,15.0,15.0,15.0,26.0,35.0,55.0,56.0,65.0,69.0,69.0,69.0,88.0,95.0,98.0,103.0,109.0,113.0,120.0,123.0,127.0,129.0,129.0,129.0,129.0,131.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,136.0,141.0,141.0,141.0,141.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,146.0,146.0,146.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,149.0,151.0,151.0,151.0
