Date,Latitude,Longitude,city_confirmedCount,city_curedCount,city_deadCount,city_suspectedCount,cityEnglishName
05-05,31.6506882,119.0262399,17.0,17.0,0.0,0.0,Lishui
05-05,37.5200946,111.1444891,6.0,6.0,0.0,0.0,Lüliang
05-05,21.6656562,110.9196315,14.0,14.0,0.0,0.0,Maoming
05-05,24.3053552,116.1177436,17.0,17.0,0.0,0.0,Meizhou
05-05,39.9938234,115.79514457510444,3.0,2.0,0.0,0.0,Mentougou District
05-05,31.114766600000006,121.3769429,19.0,19.0,0.0,0.0,Minhang District
05-05,40.3751032,116.8371838,7.0,0.0,0.0,0.0,Miyun District
05-05,44.5498406,129.6259558,25.0,16.0,0.0,0.0,Mudanjiang
05-05,29.8622194,121.6203873,157.0,157.0,0.0,0.0,Ningbo
05-05,39.60814570000001,109.7763659,11.0,11.0,0.0,0.0,Ordos
05-05,26.1719,108.988,61.0,60.0,1.0,0.0,Pudong District
05-05,29.885886,122.47796430556356,11.0,11.0,0.0,0.0,Putuo District
05-05,31.1521636,121.1195519,6.0,6.0,0.0,0.0,Qingpu District
05-05,23.6832984,113.0505994,12.0,12.0,0.0,0.0,Qingyuan
05-05,39.9395724,119.5894129,10.0,9.0,1.0,0.0,Qinhuangdao
05-05,47.3523672,123.91646529999998,43.0,42.0,1.0,0.0,Qiqihar
05-05,45.7700345,131.0074987,17.0,17.0,0.0,0.0,Qitaihe
05-05,28.973887,118.8540924,14.0,14.0,0.0,0.0,Quzhou
05-05,23.356377,116.6775918,26.0,26.0,0.0,0.0,Shantou
05-05,22.7893675,115.3721503,5.0,5.0,0.0,0.0,Shanwei
05-05,24.8134099,113.5923564,10.0,9.0,1.0,0.0,Shaoguan
05-05,29.9992425,120.576854,42.0,42.0,0.0,0.0,Shaoxing
05-05,22.555454,114.0543297,462.0,455.0,3.0,1.0,Shenzhen
05-05,38.04,114.47,29.0,29.0,0.0,0.0,Shijiazhuang
05-05,39.9046102,116.216797,14.0,9.0,0.0,0.0,Shijingshan District
05-05,46.522721,132.645516,52.0,49.0,3.0,0.0,Shuangyashan
05-05,40.158330600000006,116.72011452233473,10.0,10.0,0.0,0.0,Shunyi District
05-05,39.3307915,112.4235469,8.0,8.0,0.0,0.0,Shuozhou
05-05,31.02959325,121.21083753446176,14.0,14.0,0.0,0.0,Songjiang District
05-05,46.6520483,126.96074849999998,47.0,43.0,4.0,0.0,Suihua
05-05,37.8561856,112.5561744,21.0,20.0,0.0,0.0,Taiyuan
05-05,32.4614944,119.913445,146.0,146.0,0.0,0.0,Taizhou
05-05,39.6295799,118.1739275,58.0,57.0,1.0,0.0,Tangshan
05-05,43.6392011,122.2497308,7.0,7.0,0.0,0.0,Tongliao
05-05,39.8115124,116.72847046526287,19.0,1.0,0.0,0.0,Tongzhou District
05-05,40.9902685,113.1315646,3.0,3.0,0.0,0.0,Ulanqab
05-05,27.9958689,120.6915792,504.0,503.0,1.0,0.0,Wenzhou
05-05,39.6540161,106.7879045,2.0,2.0,0.0,0.0,Wuhai
05-05,39.91086720000001,116.3599221,53.0,0.0,0.0,0.0,Xicheng District
05-05,37.0658469,114.4921929,23.0,22.0,1.0,0.0,Xingtai
05-05,38.4139173,112.730463,7.0,7.0,0.0,0.0,Xinzhou
05-05,31.163698,121.4279938,18.0,17.0,1.0,0.0,Xuhui District
05-05,21.8526328,111.95935,14.0,14.0,0.0,0.0,Yangjiang
05-05,31.2620112,121.5214305,9.0,9.0,0.0,0.0,Yangpu District
05-05,37.85862,113.5730276,4.0,4.0,0.0,0.0,Yangquan
05-05,36.6243585,120.4342057,1.0,0.0,0.0,0.0,Yanqing District
05-05,47.9433709,129.1847514,1.0,1.0,0.0,0.0,Yichun
05-05,35.027637,111.002141,19.0,19.0,0.0,0.0,Yuncheng
05-05,40.8228016,114.880567,41.0,41.0,0.0,0.0,Zhangjiakou
05-05,21.2745127,110.3541291,24.0,24.0,0.0,2.0,Zhanjiang
05-05,23.0515551,112.4728451,20.0,19.0,1.0,0.0,Zhaoqing
05-05,22.5213807,113.3656141,69.0,69.0,0.0,0.0,Zhongshan
05-05,29.9873344,122.2030363,10.0,10.0,0.0,0.0,Zhoushan
05-05,22.2305196,113.5462439,103.0,102.0,1.0,1.0,Zhuhai
05-04,32.7165184,108.9912989,26.0,26.0,0.0,0.0,Ankang
05-04,34.364581099999995,107.2332184,13.0,13.0,0.0,0.0,Baoji
05-04,31.4066338,121.4851577,22.0,21.0,1.0,0.0,Baoshan District
05-04,40.6549157,109.8344586,11.0,11.0,0.0,0.0,Baotou
05-04,40.7411867,107.3826113,8.0,7.0,1.0,0.0,Bayannur
05-04,45.7774951,127.6646783,15.0,15.0,0.0,0.0,Binzhou
05-04,31.2092762,121.3899859,13.0,13.0,0.0,0.0,Changning District
05-04,40.2141429,116.17226818841999,29.0,10.0,0.0,0.0,Changping District
05-04,36.1829336,113.0985394,8.0,8.0,0.0,0.0,Changzhi
05-04,39.92044979999999,116.43691090000002,75.0,0.0,0.0,0.0,Chaoyang District
05-04,23.6566146,116.6205482,6.0,6.0,0.0,0.0,Chaozhou
05-04,42.2799929,118.9426131,9.0,9.0,0.0,0.0,Chifeng
05-04,31.6313393,121.5337768,4.0,4.0,0.0,0.0,Chongming District
05-04,46.5969028,125.1014811,27.0,25.0,1.0,0.0,Daqing
05-04,40.0921758,113.2950953,12.0,12.0,0.0,0.0,Datong
05-04,39.63606985,116.46452139471874,39.0,16.0,0.0,0.0,Daxing District
